Team,Model,Accuracy,F1-Score
Aachen,Logistic Regression,0.6666666666666666,0.5333333333333333
Aachen,Decision Tree,0.5833333333333333,0.42666666666666664
Aachen,Random Forest,0.5333333333333333,0.5266666666666666
Aachen,SVM,0.4833333333333333,0.49333333333333335
Aachen,Neural Network,0.45,0.4333333333333333
Augsburg,Logistic Regression,0.8130867709815078,0.860214822807974
Augsburg,Decision Tree,0.7216216216216216,0.7729162568037249
Augsburg,Random Forest,0.8022759601706969,0.8547415441180822
Augsburg,SVM,0.8238975817923186,0.8692744542070686
Augsburg,Neural Network,0.7651493598862019,0.8162227988042865
Bayern Munich,Logistic Regression,0.9213058419243986,0.9587870988291746
Bayern Munich,Decision Tree,0.8841280068728523,0.937814409748545
Bayern Munich,Random Forest,0.9213273195876288,0.9590458481672078
Bayern Munich,SVM,0.9234106529209622,0.9600916766043406
Bayern Munich,Neural Network,0.9234106529209622,0.9601739327735533
Bielefeld,Logistic Regression,0.7633001422475106,0.8211273065691088
Bielefeld,Decision Tree,0.6990042674253201,0.7673112365513581
Bielefeld,Random Forest,0.6665718349928876,0.7355304249359318
Bielefeld,SVM,0.7634423897581792,0.8203511191710726
Bielefeld,Neural Network,0.7147937411095306,0.7723959148876941
Bochum,Logistic Regression,0.7710963455149501,0.8206140492681897
Bochum,Decision Tree,0.748062015503876,0.7979900470551635
Bochum,Random Forest,0.7335548172757476,0.8060087719298246
Bochum,SVM,0.7710963455149501,0.8140639628064938
Bochum,Neural Network,0.7060908084163898,0.7656731969445046
Braunschweig,Logistic Regression,0.5666666666666667,0.3333333333333333
Braunschweig,Decision Tree,0.6666666666666667,0.7333333333333333
Braunschweig,Random Forest,0.6333333333333333,0.6
Braunschweig,SVM,0.75,0.6666666666666666
Braunschweig,Neural Network,0.6333333333333333,0.4333333333333333
Cottbus,Logistic Regression,0.761904761904762,0.8047493735649658
Cottbus,Decision Tree,0.6142857142857142,0.6330434782608695
Cottbus,Random Forest,0.6638095238095238,0.7016450216450216
Cottbus,SVM,0.6823809523809523,0.7084930262141655
Cottbus,Neural Network,0.6523809523809524,0.6617391304347826
Darmstadt,Logistic Regression,0.7380952380952381,0.702857142857143
Darmstadt,Decision Tree,0.5047619047619047,0.5342857142857144
Darmstadt,Random Forest,0.6476190476190475,0.6420634920634921
Darmstadt,SVM,0.6523809523809524,0.6409523809523809
Darmstadt,Neural Network,0.6761904761904761,0.6698412698412699
Dortmund,Logistic Regression,0.8783505154639176,0.9297245231963883
Dortmund,Decision Tree,0.8,0.8779791509476557
Dortmund,Random Forest,0.8742268041237112,0.9283828361265009
Dortmund,SVM,0.8907216494845361,0.9353798323420612
Dortmund,Neural Network,0.8515463917525773,0.9146371673475171
Dresden,Logistic Regression,0.6761904761904762,0.8054545454545453
Dresden,Decision Tree,0.680952380952381,0.781010101010101
Dresden,Random Forest,0.680952380952381,0.781010101010101
Dresden,SVM,0.6761904761904762,0.8054545454545453
Dresden,Neural Network,0.680952380952381,0.781010101010101
Duisburg,Logistic Regression,0.6603174603174603,0.6655623555011559
Duisburg,Decision Tree,0.575132275132275,0.514999414999415
Duisburg,Random Forest,0.5156084656084656,0.48138639281129647
Duisburg,SVM,0.5677248677248677,0.48693244739756364
Duisburg,Neural Network,0.5232804232804232,0.5001936570717058
Dusseldorf,Logistic Regression,0.7333333333333333,0.8418181818181818
Dusseldorf,Decision Tree,0.7571428571428571,0.8351515151515152
Dusseldorf,Random Forest,0.7047619047619047,0.8206060606060606
Dusseldorf,SVM,0.6714285714285715,0.7939393939393938
Dusseldorf,Neural Network,0.6428571428571429,0.7511111111111112
Ein Frankfurt,Logistic Regression,0.7692640692640693,0.8429027174002229
Ein Frankfurt,Decision Tree,0.6191475191475192,0.7162015033926658
Ein Frankfurt,Random Forest,0.7434565434565433,0.8326023419777918
Ein Frankfurt,SVM,0.7694305694305694,0.8464992917948866
Ein Frankfurt,Neural Network,0.6762237762237762,0.7776412479980355
FC Koln,Logistic Regression,0.7648814749780508,0.8241450828982544
FC Koln,Decision Tree,0.7202370500438982,0.7830278496928655
FC Koln,Random Forest,0.7352063213345039,0.8082182987043248
FC Koln,SVM,0.7408252853380157,0.7968413576694151
FC Koln,Neural Network,0.6786215978928885,0.759651812751231
Fortuna Dusseldorf,Logistic Regression,0.7454545454545455,0.7767365967365967
Fortuna Dusseldorf,Decision Tree,0.6890909090909091,0.7336663336663336
Fortuna Dusseldorf,Random Forest,0.7454545454545454,0.7937662337662338
Fortuna Dusseldorf,SVM,0.7436363636363638,0.7671794871794873
Fortuna Dusseldorf,Neural Network,0.6072727272727272,0.6802564102564103
Freiburg,Logistic Regression,0.7858200666419844,0.8515305435305436
Freiburg,Decision Tree,0.6224731580895965,0.6863656870632404
Freiburg,Random Forest,0.7531654942613847,0.8342639732222363
Freiburg,SVM,0.7831173639392818,0.8516075385234265
Freiburg,Neural Network,0.7205849685301742,0.8018809930907599
Greuther Furth,Logistic Regression,0.7714285714285715,0.6833333333333333
Greuther Furth,Decision Tree,0.6666666666666667,0.40476190476190477
Greuther Furth,Random Forest,0.8571428571428571,0.6666666666666666
Greuther Furth,SVM,0.8,0.7076190476190476
Greuther Furth,Neural Network,0.8,0.6076190476190476
Hamburg,Logistic Regression,0.7990246701090076,0.8650107844732219
Hamburg,Decision Tree,0.6504302925989672,0.746269506509461
Hamburg,Random Forest,0.7388123924268504,0.8196975999394815
Hamburg,SVM,0.7388697647733792,0.818087198139876
Hamburg,Neural Network,0.739213998852553,0.826829305345737
Hannover,Logistic Regression,0.8188679245283019,0.8701156377868706
Hannover,Decision Tree,0.7773584905660378,0.8320767460168309
Hannover,Random Forest,0.8264150943396228,0.8746274174728738
Hannover,SVM,0.7886792452830189,0.8405198705198705
Hannover,Neural Network,0.7773584905660377,0.8351448031784955
Hansa Rostock,Logistic Regression,0.75,0.8215997664110871
Hansa Rostock,Decision Tree,0.7444444444444444,0.8085797101449275
Hansa Rostock,Random Forest,0.7444444444444445,0.8136907027192762
Hansa Rostock,SVM,0.7388888888888889,0.8129916285172349
Hansa Rostock,Neural Network,0.7444444444444445,0.8078674386436446
Hertha,Logistic Regression,0.8230348598769652,0.877251126724811
Hertha,Decision Tree,0.7163021189336979,0.7895007748392685
Hertha,Random Forest,0.8152084757347916,0.8743116751422484
Hertha,SVM,0.84107997265892,0.8907740868097846
Hertha,Neural Network,0.8047505126452495,0.8606008497499074
Hoffenheim,Logistic Regression,0.8148049645390072,0.878635487938611
Hoffenheim,Decision Tree,0.6716312056737589,0.7625017648830628
Hoffenheim,Random Forest,0.7726063829787234,0.8496923955767913
Hoffenheim,SVM,0.7851950354609929,0.8566959270996761
Hoffenheim,Neural Network,0.7897163120567376,0.8600512057854373
Ingolstadt,Logistic Regression,0.7904761904761904,0.8377777777777778
Ingolstadt,Decision Tree,0.7952380952380953,0.836190476190476
Ingolstadt,Random Forest,0.819047619047619,0.8555555555555555
Ingolstadt,SVM,0.7619047619047619,0.802063492063492
Ingolstadt,Neural Network,0.6476190476190475,0.7641414141414141
Kaiserslautern,Logistic Regression,0.817391304347826,0.8795478754882234
Kaiserslautern,Decision Tree,0.7086956521739131,0.7859934758247326
Kaiserslautern,Random Forest,0.708695652173913,0.7788978459098718
Kaiserslautern,SVM,0.791304347826087,0.8546834109767228
Kaiserslautern,Neural Network,0.7695652173913043,0.8370819062306133
Karlsruhe,Logistic Regression,0.7731884057971014,0.8555784865540964
Karlsruhe,Decision Tree,0.7144927536231884,0.7646228136872907
Karlsruhe,Random Forest,0.7144927536231883,0.779232944503358
Karlsruhe,SVM,0.7481884057971014,0.815840455840456
Karlsruhe,Neural Network,0.6967391304347826,0.7855109997215262
Leipzig,Logistic Regression,0.6499999999999999,0.7847619047619047
Leipzig,Decision Tree,0.6499999999999999,0.7847619047619047
Leipzig,Random Forest,0.6499999999999999,0.7847619047619047
Leipzig,SVM,0.6499999999999999,0.7847619047619047
Leipzig,Neural Network,0.6499999999999999,0.7847619047619047
Leverkusen,Logistic Regression,0.8230170418682936,0.8924250192394003
Leverkusen,Decision Tree,0.6334946349673889,0.7265049612560256
Leverkusen,Random Forest,0.7324637071323374,0.821010101010101
Leverkusen,SVM,0.8538817588891228,0.911138436938298
Leverkusen,Neural Network,0.730338733431517,0.8237781164750244
M'gladbach,Logistic Regression,0.8333333333333333,0.9028571428571428
M'gladbach,Decision Tree,0.8333333333333333,0.9028571428571428
M'gladbach,Random Forest,0.8333333333333333,0.9028571428571428
M'gladbach,SVM,0.8333333333333333,0.9028571428571428
M'gladbach,Neural Network,0.8333333333333333,0.9028571428571428
Mainz,Logistic Regression,0.7795286195286195,0.8429997128918506
Mainz,Decision Tree,0.6507070707070707,0.7395977412819518
Mainz,Random Forest,0.7463299663299663,0.8230112195934979
Mainz,SVM,0.7724579124579125,0.8388029860434925
Mainz,Neural Network,0.7464646464646465,0.8177772375882087
Munich 1860,Logistic Regression,0.7674242424242423,0.8420477528626866
Munich 1860,Decision Tree,0.7054924242424242,0.7714435042309606
Munich 1860,Random Forest,0.68125,0.7613349779011204
Munich 1860,SVM,0.6511363636363636,0.717706788411853
Munich 1860,Neural Network,0.5774621212121211,0.639888738712268
Nurnberg,Logistic Regression,0.7844858156028368,0.8414175604505439
Nurnberg,Decision Tree,0.6540780141843971,0.6919618732521958
Nurnberg,Random Forest,0.7294326241134752,0.7705014454774236
Nurnberg,SVM,0.8056737588652482,0.8538246419312339
Nurnberg,Neural Network,0.6959219858156029,0.7503368497157318
Paderborn,Logistic Regression,0.7952380952380953,0.739047619047619
Paderborn,Decision Tree,0.7380952380952381,0.6476190476190476
Paderborn,Random Forest,0.7333333333333333,0.5476190476190477
Paderborn,SVM,0.7666666666666667,0.7314285714285713
Paderborn,Neural Network,0.7904761904761904,0.6047619047619047
RB Leipzig,Logistic Regression,0.8533333333333333,0.9141554709201767
RB Leipzig,Decision Tree,0.8038095238095238,0.8845570279393808
RB Leipzig,Random Forest,0.8428571428571429,0.9124592084344407
RB Leipzig,SVM,0.8923809523809524,0.9379039326407748
RB Leipzig,Neural Network,0.8433333333333332,0.9058926736346091
Schalke 04,Logistic Regression,0.8229695721802791,0.88793703703018
Schalke 04,Decision Tree,0.7825669183253261,0.8570872720838452
Schalke 04,Random Forest,0.7931365820178449,0.868858713334706
Schalke 04,SVM,0.8336078700526196,0.8978285642703572
Schalke 04,Neural Network,0.7780370624571036,0.859881707358744
St Pauli,Logistic Regression,0.7945054945054946,0.8114091790562379
St Pauli,Decision Tree,0.6791208791208792,0.6711111111111111
St Pauli,Random Forest,0.7802197802197802,0.7681318681318681
St Pauli,SVM,0.7373626373626374,0.7286080586080586
St Pauli,Neural Network,0.7659340659340661,0.7575091575091574
Stuttgart,Logistic Regression,0.8205860805860807,0.8794300260904573
Stuttgart,Decision Tree,0.7367277167277168,0.8194236285768632
Stuttgart,Random Forest,0.8007326007326008,0.8691238637196804
Stuttgart,SVM,0.8361172161172161,0.8927204495002924
Stuttgart,Neural Network,0.7209279609279609,0.8066615561332446
Uerdingen,Logistic Regression,0.7095238095238096,0.8165656565656567
Uerdingen,Decision Tree,0.5857142857142857,0.7087878787878789
Uerdingen,Random Forest,0.5761904761904761,0.695930735930736
Uerdingen,SVM,0.5809523809523809,0.6349206349206349
Uerdingen,Neural Network,0.49523809523809526,0.6
Ulm,Logistic Regression,0.65,0.7266666666666667
Ulm,Decision Tree,0.8166666666666667,0.8266666666666665
Ulm,Random Forest,0.65,0.738095238095238
Ulm,SVM,0.7166666666666666,0.76
Ulm,Neural Network,0.7166666666666667,0.7933333333333333
Union Berlin,Logistic Regression,0.8418181818181818,0.9055521155830754
Union Berlin,Decision Tree,0.7636363636363636,0.8521475256769374
Union Berlin,Random Forest,0.8418181818181818,0.9049604403164775
Union Berlin,SVM,0.7818181818181819,0.8701926384588925
Union Berlin,Neural Network,0.8236363636363636,0.9028070175438596
Unterhaching,Logistic Regression,0.9095238095238095,0.9482517482517482
Unterhaching,Decision Tree,0.880952380952381,0.93006993006993
Unterhaching,Random Forest,0.8523809523809524,0.9174825174825175
Unterhaching,SVM,0.8523809523809524,0.9082517482517483
