FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Braunschweig,away_Augsburg,away_Bayern Munich,away_Dortmund,away_Ein Frankfurt,away_Freiburg,away_Hamburg,away_Hannover,away_Hertha,away_Hoffenheim,away_Leverkusen,away_M'gladbach,away_Mainz,away_Nurnberg,away_Schalke 04,away_Stuttgart,away_Werder Bremen,away_Wolfsburg
0.0,0.0,0.0,1.0,13,12,3,4,2,7,10,18,1,0,0,0,13-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,1.0,9,20,4,4,2,8,12,18,2,1,0,0,13-14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,23,9,7,2,6,3,17,18,3,2,0,0,13-14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0,1.0,0.0,10,15,2,8,8,4,12,19,0,1,0,0,13-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,1.0,1.0,1.0,14,14,4,6,1,9,13,21,0,1,0,0,13-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,0.0,0.0,1.0,17,16,7,8,4,4,12,21,2,2,0,1,13-14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,21,8,7,2,6,1,14,17,3,1,0,0,13-14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,13,16,2,6,8,2,18,22,2,4,1,0,13-14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,14,16,8,3,7,8,17,19,1,2,1,0,13-14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,16,20,5,6,7,8,18,17,0,1,0,0,13-14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,14,18,7,8,7,8,14,24,6,5,0,0,13-14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,20,12,3,4,9,5,12,14,1,3,0,0,13-14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.0,1.0,0.0,8,11,2,2,3,4,15,22,1,4,0,0,13-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,2.0,1.0,1.0,14,12,3,5,6,7,16,25,2,1,0,0,13-14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,0.0,1.0,11,11,3,2,5,6,17,16,2,2,0,1,13-14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,7,12,1,3,2,3,19,16,2,1,0,0,13-14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,17,24,6,10,7,9,21,21,2,2,0,0,13-14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
