FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Cottbus,away_Aachen,away_Bayern Munich,away_Bielefeld,away_Bochum,away_Dortmund,away_Duisburg,away_Ein Frankfurt,away_FC Koln,away_Freiburg,away_Hamburg,away_Hannover,away_Hansa Rostock,away_Hertha,away_Hoffenheim,away_Kaiserslautern,away_Karlsruhe,away_Leverkusen,away_M'gladbach,away_Mainz,away_Munich 1860,away_Nurnberg,away_Schalke 04,away_St Pauli,away_Stuttgart,away_Unterhaching,away_Werder Bremen,away_Wolfsburg
0.0,0.0,0.0,1.0,11,10,3,5,8,4,25,20,2,2,0,0,00-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,17,10,9,2,8,2,15,15,2,4,0,0,00-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1.0,1.0,8,14,4,9,6,4,19,19,1,3,1,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,15,8,8,0,1,5,23,22,1,5,0,0,00-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,11,9,3,3,7,7,17,24,3,3,0,0,00-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,14,12,4,9,10,6,18,18,3,2,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,0.0,1.0,0.0,12,11,4,6,9,2,19,17,0,1,0,0,00-01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,11,5,5,2,5,3,20,20,3,3,1,1,00-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2.0,0.0,1.0,20,20,10,9,1,9,28,30,1,1,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,2.0,1.0,1.0,14,11,6,5,4,4,21,18,2,4,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,2.0,0.0,1.0,19,20,11,11,5,3,18,24,2,1,0,1,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,0.0,1.0,23,11,11,5,4,3,23,24,5,4,0,0,00-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
