FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Fortuna Dusseldorf,away_Augsburg,away_Bayern Munich,away_Dortmund,away_Ein Frankfurt,away_FC Koln,away_Freiburg,away_Greuther Furth,away_Hamburg,away_Hannover,away_Hertha,away_Hoffenheim,away_Leverkusen,away_M'gladbach,away_Mainz,away_Nurnberg,away_Paderborn,away_RB Leipzig,away_Schalke 04,away_Stuttgart,away_Union Berlin,away_Werder Bremen,away_Wolfsburg
1.0,0.0,0.0,1.0,5,13,0,4,5,4,15,23,3,2,0,0,12-13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,11,11,2,3,3,6,13,17,2,2,0,0,12-13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,2.0,0.0,7,14,2,6,4,4,10,9,1,1,0,0,12-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0,2.0,0.0,2,24,1,14,2,6,18,13,3,1,0,0,12-13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,6,10,2,7,1,4,19,18,1,1,1,0,12-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,11,4,3,1,6,1,17,18,1,1,0,1,12-13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,11,13,3,4,3,8,18,13,2,3,0,0,12-13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,13,7,6,2,5,2,9,14,2,2,0,1,12-13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,10,13,5,5,5,3,10,16,2,3,0,0,12-13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.0,0.0,15,23,4,12,6,9,9,25,1,4,0,0,12-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,12,7,5,4,3,5,13,18,2,3,0,0,12-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,0.0,1.0,13,3,8,1,5,4,20,28,2,4,0,1,12-13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,13,5,3,3,7,3,13,14,3,2,0,0,12-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,1.0,1.0,1.0,12,14,3,4,4,1,11,20,3,2,0,0,12-13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,8,16,3,4,3,1,20,24,1,3,0,0,12-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,1.0,0.0,8,9,3,6,6,3,15,11,5,2,0,0,12-13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,6,13,2,4,1,5,19,19,4,1,0,0,12-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,9,14,5,7,7,5,11,10,1,0,0,0,18-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,8,18,4,5,0,9,10,19,1,2,0,0,18-19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,16,6,4,3,7,5,6,12,2,2,0,0,18-19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,9,15,3,5,4,6,17,15,3,1,0,0,18-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0,1.0,0.0,8,18,1,6,4,9,12,11,3,6,0,0,18-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
