FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Ingolstadt,away_Augsburg,away_Bayern Munich,away_Darmstadt,away_Dortmund,away_Ein Frankfurt,away_FC Koln,away_Freiburg,away_Hamburg,away_Hannover,away_Hertha,away_Hoffenheim,away_Leverkusen,away_M'gladbach,away_Mainz,away_RB Leipzig,away_Schalke 04,away_Stuttgart,away_Werder Bremen,away_Wolfsburg
0.0,0.0,0.0,1.0,3,18,2,8,1,4,18,16,2,3,0,0,15-16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,5,17,1,3,2,5,10,15,2,3,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,1.0,12,8,1,3,8,5,15,16,2,1,0,0,15-16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,14,12,4,2,4,3,11,11,1,2,0,0,15-16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,18,5,3,1,8,2,12,12,2,3,0,0,15-16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,16,8,6,2,5,5,19,25,2,3,0,0,15-16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,9,7,2,2,2,1,11,18,2,1,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,11,9,3,2,6,3,12,18,2,3,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,9,7,4,4,3,1,21,16,2,2,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1.0,0.0,24,7,4,2,8,3,17,22,2,3,0,0,15-16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,9,12,4,2,0,4,15,23,2,2,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.0,1.0,14,8,3,3,7,2,13,19,2,1,0,0,15-16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,22,16,8,6,3,7,13,20,2,3,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2.0,0.0,1.0,12,9,4,2,5,6,12,23,1,5,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,0.0,0.0,1.0,15,7,4,3,5,3,7,11,1,1,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,2.0,0.0,1.0,8,14,3,4,2,7,10,13,2,2,1,0,15-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
