FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Schalke 04,away_Aachen,away_Augsburg,away_Bayern Munich,away_Bielefeld,away_Bochum,away_Braunschweig,away_Cottbus,away_Darmstadt,away_Dortmund,away_Dresden,away_Duisburg,away_Dusseldorf,away_Ein Frankfurt,away_FC Koln,away_Fortuna Dusseldorf,away_Freiburg,away_Greuther Furth,away_Hamburg,away_Hannover,away_Hansa Rostock,away_Hertha,away_Hoffenheim,away_Ingolstadt,away_Kaiserslautern,away_Karlsruhe,away_Leipzig,away_Leverkusen,away_M'Gladbach,away_M'gladbach,away_Mainz,away_Munich 1860,away_Nurnberg,away_Paderborn,away_RB Leipzig,away_St Pauli,away_Stuttgart,away_Uerdingen,away_Ulm,away_Union Berlin,away_Unterhaching,away_Wattenscheid,away_Werder Bremen,away_Wolfsburg
1.0,2.0,0.0,1.0,16,10,6,3,6,5,15,26,2,3,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,15,5,12,3,5,2,16,13,0,4,0,0,00-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,12,7,5,4,5,3,23,26,2,3,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.0,1.0,16,5,3,0,9,2,15,12,4,2,0,1,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,14,6,5,4,5,3,14,11,3,3,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,13,6,7,2,4,2,19,24,3,5,0,0,00-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,16,9,5,2,4,2,25,25,3,1,0,0,00-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,12,11,6,3,6,3,21,20,3,2,0,1,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,21,4,10,0,10,4,19,20,0,2,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,15,1,11,1,4,3,23,17,2,0,0,1,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,7,6,1,2,8,7,18,23,4,4,0,0,00-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,18,15,2,5,8,5,21,16,2,3,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,18,6,5,1,6,1,19,16,2,3,0,1,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,13,6,7,3,2,5,15,23,3,4,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,19,8,10,6,10,1,25,20,2,2,0,0,00-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
